title,authors,publication_date,description,cite_by
"On the Additive <svg aria-label=""(s_1, s_2)"" class=""gs_fsvg"" height=""17px"" style=""vertical-align:-5px;"" width=""52px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 12.75000)""><path d=""M 635 -508  Q 521 -418 438 -302  T 303 -53  T 225 223  T 199 512  Q 199 659 225 803  T 304 1080  T 441 1329  T 635 1532  Q 635 1536 645 1536  H 664  Q 670 1536 675 1530  T 680 1518  Q 680 1509 676 1505  Q 576 1407 509 1295  T 402 1056  T 344 794  T 326 512  Q 326 -139 674 -477  Q 680 -483 680 -494  Q 680 -499 674 -506  T 664 -512  H 645  Q 635 -512 635 -508  Z "" transform=""scale(0.48828, -0.48828)""></path><g transform=""translate(388.89001, 0.00000)""><path d=""M 178 125  Q 233 31 399 31  Q 471 31 536 55  T 643 129  T 686 248  Q 686 301 648 335  T 555 381  L 444 403  Q 368 422 319 474  T 270 600  Q 270 691 319 761  T 450 868  T 618 905  Q 711 905 784 860  T 858 729  Q 858 682 831 646  T 758 610  Q 731 610 711 627  T 692 672  Q 692 696 705 718  T 741 754  T 788 768  Q 770 812 720 832  T 614 852  Q 562 852 510 831  T 426 769  T 395 674  Q 395 637 421 609  T 485 569  L 604 545  Q 661 533 708 502  T 783 425  T 811 319  Q 811 243 768 169  T 664 51  Q 555 -23 397 -23  Q 288 -23 197 27  T 106 176  Q 106 232 138 273  T 227 315  Q 260 315 282 295  T 305 242  Q 305 195 270 160  T 188 125  H 178  Z "" transform=""scale(0.48828, -0.48828)""></path><g transform=""translate(468.78000, 150.00000)""><path d=""M 233 0  V 82  Q 516 82 516 143  V 1202  Q 401 1147 219 1147  V 1229  Q 341 1229 447 1258  T 629 1360  H 666  Q 685 1355 690 1335  V 143  Q 690 82 973 82  V 0  H 233  Z "" transform=""scale(0.34180, -0.34180)""></path></g></g><path d=""M 203 -369  Q 203 -360 211 -352  Q 285 -281 326 -188  T 367 8  V 33  Q 334 0 285 0  Q 238 0 205 33  T 172 113  Q 172 161 205 193  T 285 225  Q 358 225 389 157  T 420 8  Q 420 -106 374 -209  T 246 -393  Q 238 -397 233 -397  Q 223 -397 213 -388  T 203 -369  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 1306.27808, 0.00000)""></path><g transform=""translate(1750.72522, 0.00000)""><path d=""M 178 125  Q 233 31 399 31  Q 471 31 536 55  T 643 129  T 686 248  Q 686 301 648 335  T 555 381  L 444 403  Q 368 422 319 474  T 270 600  Q 270 691 319 761  T 450 868  T 618 905  Q 711 905 784 860  T 858 729  Q 858 682 831 646  T 758 610  Q 731 610 711 627  T 692 672  Q 692 696 705 718  T 741 754  T 788 768  Q 770 812 720 832  T 614 852  Q 562 852 510 831  T 426 769  T 395 674  Q 395 637 421 609  T 485 569  L 604 545  Q 661 533 708 502  T 783 425  T 811 319  Q 811 243 768 169  T 664 51  Q 555 -23 397 -23  Q 288 -23 197 27  T 106 176  Q 106 232 138 273  T 227 315  Q 260 315 282 295  T 305 242  Q 305 195 270 160  T 188 125  H 178  Z "" transform=""scale(0.48828, -0.48828)""></path><g transform=""translate(468.78000, 150.00000)""><path d=""M 129 0  V 59  Q 129 68 137 76  L 502 432  Q 523 454 535 466  T 571 502  Q 692 623 759 727  T 827 956  Q 827 1024 804 1083  T 739 1187  T 641 1254  T 516 1278  Q 425 1278 349 1231  T 236 1104  H 242  Q 291 1104 322 1071  T 354 991  Q 354 945 322 912  T 242 879  Q 195 879 162 912  T 129 991  Q 129 1101 190 1185  T 349 1314  T 551 1360  Q 675 1360 786 1313  T 965 1174  T 1034 956  Q 1034 865 993 786  T 892 648  T 726 505  T 588 395  L 338 182  H 526  Q 603 182 687 182  T 836 185  T 905 193  Q 923 212 934 261  T 956 381  H 1034  L 973 0  H 129  Z "" transform=""scale(0.34180, -0.34180)""></path></g></g><path d=""M 133 -512  Q 115 -512 115 -494  Q 115 -485 119 -481  Q 469 -139 469 512  Q 469 1163 123 1501  Q 115 1506 115 1518  Q 115 1525 120 1530  T 133 1536  H 152  Q 158 1536 162 1532  Q 309 1416 407 1250  T 550 896  T 596 512  Q 596 367 571 226  T 493 -51  T 358 -303  T 162 -508  Q 158 -512 152 -512  H 133  Z "" transform=""matrix(0.48828, 0.00000, 0.00000, -0.48828, 2668.11328, 0.00000)""></path></g></svg>--Functional Inequality and Its Stability in Banach Spaces",,,,
The new investigation of the stability of mixed type additive-quartic functional equations in non-Archimedean spaces,,,,
On New Coincidence Points Results for a Mapping and a Relation Approach to the Integral Integral Equations,,,,
Further comments on a fixed point theorem in the fractal space,,,,
On Modified R-Functions and Modified R-Contractions with Fixed Point Results and Applications,,,,
On new fixed point results in various distance spaces via phi-fixed point theorems in D-generalized metric spaces with numerical results,,,,
"On new fixed point results in various distance spaces via <svg aria-label=""\varphi "" class=""gs_fsvg"" height=""11px"" style=""vertical-align:-5px;"" width=""11px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 7.51400)""><path d=""M 334 -389  Q 334 -381 338 -365  L 453 -4  Q 300 34 201 137  T 102 389  Q 102 464 130 558  T 202 736  T 297 877  Q 309 883 311 883  H 336  Q 342 883 347 877  T 352 864  Q 352 856 348 852  Q 314 815 281 761  T 223 649  T 181 525  T 164 412  Q 164 291 260 216  T 489 117  L 547 301  Q 585 420 622 513  T 716 696  T 853 845  T 1032 905  Q 1110 905 1162 866  T 1240 762  T 1266 623  Q 1266 501 1212 384  T 1064 175  T 852 30  T 614 -23  Q 598 -22 579 -21  T 549 -20  L 481 -377  Q 475 -407 450 -427  T 395 -446  Q 370 -446 352 -431  T 334 -389  Z M 571 106  Q 594 104 637 104  Q 764 104 895 166  T 1113 338  T 1200 575  Q 1200 633 1176 679  T 1110 751  T 1012 778  Q 853 778 746 624  T 606 293  L 571 106  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>                              φ -fixed point theorems in <svg aria-label=""\mathcal {D}"" class=""gs_fsvg"" height=""12px"" style=""vertical-align:-1px;"" width=""14px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 11.61100)""><g><path d=""M 156 16  Q 156 45 203 74  T 287 117  Q 404 416 463 659  Q 542 978 565 1278  Q 456 1278 350 1239  Q 295 1217 266 1182  T 219 1087  Q 199 1053 151 1023  T 66 993  H 53  Q 39 1002 39 1014  Q 75 1138 186 1225  T 444 1355  T 723 1399  H 924  Q 1046 1399 1159 1375  T 1365 1295  T 1514 1148  T 1569 926  Q 1569 725 1463 553  T 1181 256  T 802 66  T 410 0  H 170  Q 166 2 161 6  T 156 16  Z M 438 121  H 541  Q 702 121 852 169  T 1123 310  T 1315 538  T 1386 836  Q 1386 998 1297 1097  T 1068 1237  T 770 1278  H 739  Q 716 1024 645 741  Q 568 433 438 121  Z "" transform=""scale(0.48828, -0.48828)""></path></g></g></svg>                              D -generalized metric spaces with …",,,,
OPTIMAL SCHOOL BUS ROUTES USING MIXEDâ€“INTEGER PROGRAMMING FOR LONG-TERM SCHOOL BUS SYSTEM,,,,
Revision and extension on Hyers–Ulam stability of homomorphisms in quasi-Banach algebras,,,,
Stability of Euler-Lagrange type cubic functional equations in quasi-Banach spaces,,,,
The viscosity method for the implicit double midpoint rule with numerical results and its applications,,,,
The Viscosity Implicit Midpoint Rule for Finding Common Fixed Points of Two Asymptotically Nonexpansive Mappings with Applications,,,,
Orthogonal stability of the generalized quadratic functional equations in the sense of Rätz,,,,
ON THE GLOBAL OPTIMIZATION OF MULTI-OBJECTIVE FUNCTIONS APPROACHED BY THE ALMOST GENERALIZED PC-CONTRACTIVE CONDITION IN PARTIAL METRIC SPACES,,,,
NEW THE GENERALIZATION OF RI'S CONTRACTION MAPPINGS AND ITS APPLICATIONS,,,,
ON NEW HOMOTOPY RESULTS VIA A GENERALIZED EXTENDED SIMULATION FUNCTION IN b-METRIC SPACES,,,,
Ulam-Hyers Stability of Functional Equations in Quasi-<i>β</i>-Banach Spaces,,,,
Best Proximity Point Theorems Without The P-Property for New Generalized Weakly Contraction Mappings in Partially Ordered Metric Spaces,,,,
Stability of the New Generalized Linear Functional Equation in Normed Spaces via the Fixed Point Method in Generalized Metric Spaces,,,,
Fixed Point Theorems for Multi-valued Mappings with a $$\upphi $$ ϕ Function,,,,
SOLUTION OF SYSTEMS OF URYSOHN INTEGRAL EQUATIONS ARISING FROM THE EXECUTION OF FIXED POINT METHOD IN COMPLEX VALUED METRIC SPACES,,,,
α-Admissibility and Fixed Points,,,,
SOME COMMON FIXED POINTS RESULTS ALONG WITH THE COMMON LIMIT IN THE RANGE OF PROPERTY FOR GENERALIZED CONTRACTIVE MAPPINGS,,,,
"Fixed point theorems for <svg aria-label=""\alpha "" class=""gs_fsvg"" height=""8px"" style=""vertical-align:-1px;"" width=""11px""><g transform=""matrix(0.01700, 0.00000, 0.00000, 0.01700, 0.00000, 7.51400)""><path d=""M 412 -23  Q 315 -23 239 23  T 123 147  T 82 324  Q 82 463 159 599  T 365 820  T 635 905  Q 739 905 818 850  T 938 705  T 979 512  L 981 375  Q 1051 472 1099 576  T 1174 793  Q 1178 805 1190 805  H 1214  Q 1233 805 1233 786  Q 1233 784 1231 780  Q 1207 686 1171 599  T 1086 432  T 981 285  Q 981 31 1040 31  Q 1078 31 1102 53  T 1145 109  T 1169 143  H 1194  Q 1210 143 1210 123  Q 1210 72 1151 24  T 1036 -23  Q 962 -23 913 25  T 846 150  Q 750 68 638 22  T 412 -23  Z M 416 31  Q 635 31 836 211  Q 835 223 833 240  T 831 260  V 481  Q 831 852 631 852  Q 511 852 421 749  T 285 504  T 240 244  Q 240 155 285 93  T 416 31  Z "" transform=""scale(0.48828, -0.48828)""></path></g></svg>                              α -integral type G -contraction mappings",,,,
Approximation Fixed Theorems for 𝛼-Partial Weakly Zamfirescu Mappings with Application to Homotopy Invariance,,,,
Common Fixed Point of Two 𝑅-Weakly Commuting Mappings in 𝑏-Metric Spaces,,,,
On new fixed point results for [InlineEquation not available: see fulltext.]-contractive multi-valued mappings on [alpha]-complete metric spaces and their consequences,,,,
Some fixed point results for generalized contraction mappings with cyclic [InlineEquation not available: see fulltext.]-admissible mapping in multiplicative metric spaces,,,,
Some geometric properties of generalized modular sequence space derived by the generalized de la Vallée-Poussin mean,,,,
Approximate algorithm for single valued nonexpansive and multi-valued strictly pseudocontractive mappings in Hilbert spaces,,,,
Fixed point theorems for generalized [InlineEquation not available: see fulltext.]-contraction multivalued mappings in [alpha]-complete metric spaces,,,,
Common tripled fixed point theorems for W-compatible mappings along with the [InlineEquation not available: see fulltext.] property in abstract metric spaces,,,,
Common property (EA) and existence of fixed points in menger spaces,,,,
Fixed Point Theory and Applications,,,,
Common fixed points results of occasionally weakly compatible mappings on symmetric cone spaces,,,,
Deterministic and Random Coincidence Point Theorems for Generalized I-nonexpansive Multivalued Mappings and Invariant Approximations,,,,
A New Integer Programming Model for Solving a School Bus Routing Problem with the Student Assignment,,,,
Bilinear Robust Controller to Minimize HIV Concentration in Blood Plasma,,,,
Hyers-Ulam Stability of Euler-Lagrange-Jensen k-Cubic Functional Equations on Generalized Non-Archimedean Normed Spaces,,,,
On New Approximations of the Generalized Logarithmic Functional Equation in 2-Banach Spaces,,,,
Results in Fixed Point Theory and Applications,,,,
"Hossein Lakzian, Dhananjay Gopal &amp;",,,,
Common Fixed Point Theorems under Generalized I-contraction and Generalized I-nonexpansive for Multivalued Mapping,,,,
Blood vessel segmentation methodologies in retinal images–a survey,,,,
An ensemble classification-based approach applied to retinal blood vessel segmentation,,,,
Automatic detection of diabetic retinopathy exudates from non-dilated retinal images using mathematical morphology methods,,,,
An approach to localize the retinal blood vessels using bit planes and centerline detection,,,,
Automatic exudate detection from non-dilated diabetic retinopathy retinal images using fuzzy c-means clustering,,,,
Simple hybrid method for fine microaneurysm detection from non-dilated diabetic retinopathy retinal images,,,,
Machine learning approach to automatic exudate detection in retinal images from diabetic patients,,,,
Quantification of posterior capsular opacification in digital images after cataract surgery,,,,
Automatic exudate detection with a naive Bayes classifier,,,,
A survey on hemorrhage detection in diabetic retinopathy retinal images,,,,
Automatic exudates detection from diabetic retinopathy retinal image using fuzzy c-means and morphological methods,,,,
Novel fast color reduction algorithm for time-constrained applications,,,,
Color image quantization using distances between adjacent colors along the color axis with highest color variance,,,,
Automatic retinal vessel tortuosity measurement using curvature of improved chain code,,,,
Automatic exudate detection for diabetic retinopathy screening,,,,
"A supervised method for retinal blood vessel segmentation using line strength, multiscale Gabor and morphological features",,,,
Automatic extraction of the structure of the retinal blood vessel network of premature infants,,,,
Parameter-free optic disc detection,,,,
Retinal vessel extraction using first-order derivative of Gaussian and morphological processing,,,,
Fine exudate detection using morphological reconstruction enhancement,,,,
Automatic optic disk detection from low contrast retinal images of ROP infant using GVF snake,,,,
Vessel transform for automatic optic disk detection in retinal images,,,,
Fine microaneurysm detection from non-dilated diabetic retinopathy retinal images using a hybrid approach,,,,
Automatic acne detection for medical treatment,,,,
A review of image analysis and pattern classification techniques for automatic pap smear screening process,,,,
Automatic tortuosity-based retinopathy of prematurity screening system,,,,
Automatic extraction of retinal vessels based on gradient orientation analysis,,,,
Medical image blob detection with feature stability and KNN classification,,,,
Quantification and classification of retinal vessel tortuosity,,,,
Automated microaneurysm detection algorithms applied to diabetic retinopathy retinal images,,,,
Automated retinal hemorrhage detection using morphological top hat and rule-based classification,,,,
Comparative analysis of automatic exudate detection algorithms,,,,
Fast Adaptive Algorithm for Time-Critical Color Quantization Application.,,,,
A survey of blob detection algorithms for biomedical images,,,,
Automatic tortuosity classification using machine learning approach,,,,
Ensemble classification system applied for retinal vessel segmentation on child images containing various vessel profiles,,,,
An improved firefly algorithm for optimization problems,,,,
Ontology-based object recognition of car sides,,,,
Curvature-based tortuosity evaluation for infant retinal images,,,,
Automatic Optic Disk Detection from Low Contrast Retinal Images of ROP Infant Using Mathematical Morphology,,,,
Object detection with feature stability over scale space,,,,
Automatic retinal vessel tortuosity measurement,,,,
Robust object detection on video surveillance,,,,
Thailand mutation and variation database (ThaiMUT),,,,
Automatic exudates detection on thai diabetic retinopathy patients’ retinal images,,,,
Automatic detection of optic disc from fundus images of ROP infant using 2D circular Hough transform,,,,
Automatic acne detection system for medical treatment progress report,,,,
"Conservation through in vitro propagation and restoration of Mahonia leschenaultii, an endemic tree of the Western Ghats",,,,
A review on hemorrhage detection methods for diabetic retinopathy using fundus images,,,,
Comparative analysis of automatic exudate detection between machine learning and traditional approaches,,,,
Application of image processing to determine size distribution of magnetic nanoparticles,,,,
A new selection operator to improve the performance of genetic algorithm for optimization problems,,,,
Vessel extraction in retinal images using multilevel line detection,,,,
Retinal vessel segmentation using ensemble classifier of bagged decision trees,,,,
Automatic vessel extraction with combined bottom-hat and match-filter,,,,
Automated vessels detection on infant retinal images,,,,
Diabetic Retinopathy Stages Identification Using Retinal Images,,,,
Software for the quantification of glistenings in intra-ocular lenses,,,,
Quantitative analysis of X-ray lithographic pores by SEM image processing,,,,
Automatic microaneurysm quantification for diabetic retinopathy screening,,,,
A hybrid approach for color image quantization using k-means and firefly algorithms,,,,
Robust hand tracking in low-resolution video sequences,,,,
Segmenting the ventricle from CT brain image using gray-level co-occurrence matrices (GLCMs),,,,
Vessel Segmentation in Retinal Images Using Graph-Theoretical Vessel Tracking.,,,,
A novel approach for quantification of retinal vessel tortuosity based on principal component analysis,,,,
Detection of exudates from retinal images using morphological compact tree,,,,
Comparing SVM and naive bayes classifier for automatic microaneurysm detections,,,,
Retinal vessel skeletonization using scale-space theory,,,,
Data warehousing &amp; business intelligence ROI,,,,
Comparison of edge detection techniques on vessel detection of infant’s retinal image,,,,
Computer-aided detection and quantification in glistenings on intra-ocular lenses,,,,
Automatic acne detection with featured Bayesian classifier for medical treatment,,,,
Automated segmentation of a ventricle boundary from CT brain image based on Naive Bayes Classifier,,,,
A review of automatic drusen detection and segmentation from retinal images,,,,
3D body shape clustering based on PSO by multi-fitness function,,,,
3D Body shape clustering based on PSO by volumetric overlap,,,,
PCA-based retinal vessel tortuosity quantification,,,,
Variable size blob detection with feature stability,,,,
PACS (picture archiving communication system) for dentistry,,,,
An automatic diabetic retinopathy telescreening system of Thailand,,,,
Automatic exudate detection with a support vector machine classifier,,,,
Quantification of posterior capsule opacification in digital retroillumination images using a computational method based on texture analysis,,,,
Improving microaneurysm detection from non-dilated diabetic retinopathy retinal images using feature optimisation,,,,
Feature selection using fuzzy-based firefly algorithm for glistenings detection on intraocular lenses,,,,
Image clustering using fuzzy-based firefly algorithm,,,,
Semi-automated computer analysis of retinal vessels in premature infants,,,,
A novel approach for quantification of retinal vessel tortuosity based on principal component analysis,,,,
Automatic optic disc detection for ROP images using scale-space theory,,,,
Enhanced support region for scale-space blob detection,,,,
Fast color image quantization using squared Euclidean distance of adjacent color points along the highest color variance axis,,,,
Automatic quantification of posterior capsule opacification,,,,
Acne Detection Using Speeded up Robust Features and Quantification Using K-Nearest Neighbors Algorithm,,,,
Classification of Twitter news,,,,
FINDING CURVES'S CONVERGENCE USING DELAUNAY SEARCH,,,,
Drusen Detection based on Scale-space with Feature Stability.,,,,
Modelling nature: A physicist’s viewpoint,,,,
Natural-pose hand detection in low-resolution images.,,,,
Comparative Analysis of Automatic Exudate Detections with Traditional and Machine Learning Methods,,,,
AUTOMATIC ACNE QUANTIFICATION AND LOCALISATION FOR MEDICAL TREATMENT,,,,
Quantitative Measurement of changes in retinal vessel diameters in Preterm Infants,,,,
Detection of Diabetic Anomalies in Retinal Images using Morphological Cascading Decision Tree,,,,
การ ตรวจ วัด ปริมาตร เลือด ออก ใน สมอง และ ระยะ เคลื่อน ของ ร่อง กลาง สมอง โดย อัตโนมัติ เพื่อ ช่วย แพทย์ วินิจฉัย ก่อน ผ่าตัด,,,,
Deep Learning for Glistening Quantification in Intraocular Lens,,,,
Comparative analysis of automatic tortuosity classification algorithms,,,,
Overall Progress for Thailand‘s intelligent Carbon Credit Registry System,,,,
Automatic Evaluation of plus disease in Retinopathy of Prematurity,,,,
Conceptual Frameworks of Carbon Credit Registry System for Thailand,,,,
Conceptual design of carbon credit registry system for Thailand,,,,
Feature Point Reduction for Video Stabilization,,,,
"Data Mining: Practical machine learning tools and techniques Data Mining: Practical machine learning tools and techniques, 2005",,,,
"Digital Image Processing Using Matlab Digital Image Processing Using Matlab, 2003",,,,
BITE-ME (BIOLOGICAL INTERPREATATION TOOL FOR MALARIA MICROARRAY DATA),,,,
Region-oriented segmentation of vascular structures from DSA images using mathematical morphology and binary region growing Region-oriented segmentation of vascular structures …,,,,
"Computer Vision and Machine Processing Computer Vision and Machine Processing, 1998",,,,
"Computer and Robot Vision Computer and Robot Vision I, 233, 348-349, 1992",,,,
The National Federation of the Blind Magazine for Parents and Teachers of Blind Children The National Federation of the Blind Magazine for Parents and Teachers of Blind …,,,,
"Image Analysis and Mathematical Morphology Image Analysis and Mathematical Morphology, 1982",,,,
"Pattern Classification Pattern Classification, 2001",,,,
Automated detection of age-related macular degeneration for screening programmes,,,,
Robust hand tracking in low-resolution video sequences,,,,
Infant Retinal Images Optic Disk Detection Using Active Contours,,,,
Analysis of posterior capsule opacification images.,,,,
Automatic blob-based Glistening Detection,,,,
"The Random Forest Approach for Land Cover Mapping Panyanat Aonpong, Teerasit Kasetkasem, Preesan Rakwatin, Itsuo Kumazawa",,,,
Reviewer list,,,,
ICEAI-733 Quantification of the overlapped Glistening in Intraocular lens,,,,
A Novel Approach for Segmenting the Lateral Ventricle from CT Brain Image via Active Contour without Edge,,,,
Real-time Tracking of Feature Points of Major Motion for Video Stabilization,,,,
An Improved Optic Disc Detection on Low Quality Retinal Images with Entropy Thresholding,,,,
AUTOMATIC EXUDATES DETECTION FROM DIABETIC RETINOPATHY RETINAL IMAGE USING FUZZY C-MEANS AND MORPHOLOGICAL METHODS Akara Sopharak1,,,,
2. Title: MACHINE LEARNING APPROACH TO AUTOMATIC EXUDATE DETECTION IN RETINAL IMAGES OF DIAETIC PATIENTS,,,,
1. Type (Thesis/Research Study/Special Study/etc) Thesis 2. Title Automated exudate detection on Thai diabetic patients’ retinal images,,,,
MUTation ANnotation Tool (MUTANT),,,,
Authenticated encryption: Relations among notions and analysis of the generic composition paradigm,,,,
Security proofs for identity-based identification and signature schemes,,,,
Hypursuit: A hierarchical network search engine that exploits content-link hypertext clustering,,,,
The One-More-RSA-Inversion Problems and the Security of Chaum's Blind Signature Scheme.,,,,
Authenticated encryption: Relations among notions and analysis of the generic composition paradigm,,,,
From identification to signatures via the Fiat-Shamir transform: Minimizing assumptions for security and forward-security,,,,
Authenticated encryption in SSH: provably fixing the SSH binary packet protocol,,,,
Forward-secure threshold signature schemes,,,,
Unrestricted aggregate signatures,,,,
Breaking and provably repairing the SSH authenticated encryption scheme: A case study of the Encode-then-Encrypt-and-MAC paradigm,,,,
Reconsidering generic composition,,,,
Online ciphers and the hash-CBC construction,,,,
The power of RSA inversion oracles and the security of Chaum’s RSA-based blind signature scheme,,,,
The secure shell (SSH) transport layer encryption modes,,,,
From Identification to Signatures Via the Fiat–Shamir Transform: Necessary and Sufficient Conditions for Security and Forward-Security,,,,
On the (im) possibility of blind message authentication codes,,,,
A text graphics character CAPTCHA for password authentication,,,,
Secure channels based on authenticated encryption schemes: A simple characterization,,,,
On-line ciphers and the hash-cbc constructions,,,,
Mitigating dictionary attacks with text-graphics character CAPTCHAs,,,,
AE5 Security Notions Definitions Implicit in the CAESAR Call,,,,
On-Line Ciphers and the Hash-CBC Constructions.,,,,
A study of blind message authentication codes,,,,
Provably fixing the ssh binary packet protocol,,,,
How to do embedding steganography securely,,,,
Simultaneously ensuring privacy and authenticity in digital communication,,,,
Implementing Causal Logging Using OrbixWeb Interception.,,,,
Combining Optimism and Intrusion Detection,,,,
Symmetric Cryptography Basics,,,,
AE5 Security Notions,,,,
Reconsidering Generic Composition,,,,
Cryptography and Steganography-From Identification to Signatures Via the Fiat-Shamir Transform: Necessary and Sufficient Conditions for Security and Forward-Security,,,,
Unrestricted Aggregate Signatures,,,,
Digital Signatures II-From Identification to Signatures via the Fiat-Shamir Transform: Minimizing Assumptions for Security and Forward-Security,,,,
Forward Security in Threshold Signature Schemes,,,,
A Framework for Optimistic Execution in CORBA Environment,,,,
Electrocardiography in DICOM,,,,
Lessons from Heartbleed,,,,
An instrument for measuring TQM implementation for Chinese manufacturing companies,,,,
The impact of total quality management on innovation,,,,
Green supply chain management practices and performance,,,,
Impact of lean strategy on operational performance: a study of Thai manufacturing companies,,,,
Proposed relationship of TQM and organisational performance using structured equation modelling,,,,
A fuzzy AHP to prioritize enabling factors for strategic management of university business incubators: Resource-based view,,,,
Total quality management (TQM) strategy and organisational characteristics: Evidence from a recent WTO member,,,,
Manufacturing strategies and innovation performance in newly industrialised countries,,,,
Technology business incubators and industrial development: resource‐based view,,,,
A comparative study of implementation of manufacturing strategies in Thai and Indian automotive manufacturing companies,,,,
Prioritizing lean supply chain management initiatives in healthcare service operations: a fuzzy AHP approach,,,,
Entrepreneurial SCM competence and performance of manufacturing SMEs,,,,
"The relationships between firm’s strategy, resources and innovation performance: resources-based view perspective",,,,
A study of quality management practices in TQM and non-TQM firms: Findings from the ASEAN automotive industry,,,,
Revisiting quality management and performance,,,,
"Corporate entrepreneurship, operations core competency and innovation in emerging economies",,,,
A case study of supplier selection in developing economies: a perspective on institutional theory and corporate social responsibility,,,,
Awareness and impact of business excellence in Asia,,,,
Evaluation of new manufacturing technology implementation: an empirical study in the Thai automotive industry,,,,
Prioritization of applicable drivers for green supply chain management implementation toward sustainability in Thailand,,,,
Critical success factors of Six-Sigma implementation: an analytic hierarchy process based study,,,,
Implementing industry 4.0—A technological readiness perspective,,,,
A measurement instrument for TQM implementation in the Thai manufacturing industry,,,,
Integration of manufacturing and distribution networks in a global car company–network models and numerical simulation,,,,
Improving supply chain operations by adopting RFID technology: evaluation and comparison of enabling factors,,,,
Reflective review of relationship between total quality management and organizational performance,,,,
New manufacturing technology implementation: a study of the Thai automotive industry,,,,
The contingency role of business strategy on the relationship between operations practices and performance,,,,
Innovations in service strategy: an evaluation of quality in airline service operations by using SERVQUAL model,,,,
Prioritization of six-sigma project selection: a resource-based view and institutional norms perspective,,,,
Competitive manufacturing strategy: an application of quality management practices to advanced manufacturing technology implementation,,,,
Prioritizing warehouse performance measures in contemporary supply chains,,,,
Strategic management of university business incubators (UBIs): Resource-based view (RBV) theory,,,,
A case study of learning in a Thai manufacturing organization,,,,
A study of the use of business improvement initiatives: the association with company size and level of national development,,,,
"Antecedents of SCM practices in ASEAN automotive industry: Corporate entrepreneurship, social capital, and resource-based perspectives",,,,
The impact of market focus on operations practices,,,,
Determining enabling factors of university technology business incubation program: Resource-based view theory,,,,
A review of theoretical perspectives in lean manufacturing implementation,,,,
Eco-design practices towards sustainable supply chain management: interpretive structural modelling (ISM) approach,,,,
Total Quality Management &amp; Business Excellence Proposed relationship of TQM and organisational performance using structured equation modelling,,,,
A holistic approach to supplier evaluation and order allocation towards sustainable procurement,,,,
Supply chain management in ASEAN automotive manufacturing industry,,,,
Configuration of supply chain integration and delivery performance: Unitary structure model and fuzzy approach,,,,
A study of critical success factors and prioritization by using analysis hierarchy process in Lean Manufacturing implementation for Thai SMEs,,,,
Quality management capabilities of manufacturing industries in the Western Sydney region: comparative analysis for quality improvement,,,,
The moderator effects of ISO/TS16949 certification in Thailand automotive industry,,,,
Quality competence: a source of sustained competitive advantage,,,,
Proposed relationship of TQM and organizational performance using structured equation modeling,,,,
Adoption of web-based order-processing systems: experiences from tier-1 suppliers in the automotive supply chain,,,,
Production process improvement using the six sigma DMAIC methodology: a case study of a laser computer mouse production process,,,,
An analysis of Japanese versus American automakers' supplier relationships in Thailand,,,,
Development of three-ring compaction and direct shear test mold for soils with oversized particles,,,,
Six-Sigma™ implementation: Resource-Based View perspective,,,,
Prioritization of sustainable supply chain practices with triple bottom line and organizational theories: industry and academic perspectives,,,,
"Green supply chain management, triple bottom line, and organizational theory-prioritization with fuzzy AHP method",,,,
The complementary of TQM on technology management strategy: A multinational perspective from the ASEAN automotive industry,,,,
Linkage Between Continual Improvement and Knowledge-Based View Theory,,,,
Logistics and supply chain management in healthcare service operations-A holistic approach to planning/execution,,,,
Durability properties of concrete with expansive additive,,,,
Reliability improvements in aircraft maintenance planning and scheduling under uncertainty,,,,
Critical factors for successful six-sigma implementation: an analytical hierarchy process (AHP) based,,,,
Column washing of cadmium from soil and sludge by a mixture of Na2S2O5 and Na2EDTA,,,,
Production planning and scheduling using integrated data structures in ERP: Implementation and numerical simulation,,,,
"Job involvement, job satisfaction, and organizational commitment: Predicting propensity to leave a job among skilled employee",,,,
TQM and organizational management practices: Are they really complementary?,,,,
Technology strategy: Findings from adoption and adaptation of Japanese Manufacturing Management (JMM) to ASEAN and Australasian automotive manufacturers,,,,
An Approach to Compare Measurement System Analysis and Process Capability Study for Prioritizing Improvement,,,,
Supplier qualification for high-value goods and services in Nigeria: a comparison of qualified and non-qualified suppliers,,,,
Special issue on ‘Diffusion of operation strategy and tactics to emerging economy countries’,,,,
Innovative Telecare System For The Elderly,,,,
Adoption and assimilation of TQM strategy from parent company to overseas plant in Thailand,,,,
Total quality management (TQM) strategy and organisational characteristics: Evidence from a recent WTO member,,,,
Adoption of Global Operations Strategy: A Resource-based View Perspective,,,,
Manufacturing/Operations capabilities and innovation performance,,,,
Key enablers of industry 4.0 development at firm level: Findings from an emerging economy,,,,
Comparative analysis of quality management capabilities of manufacturing industries in the Western Sydney region: quality improvement perspective,,,,
Selection of third-party logistics service providers (3PL) under the sustainable supply chain management,,,,
Supplier performance evaluation for making purchasing decisions: fuzzy-based decision support system,,,,
Fuzzy AHP based supplier selection considering the triple bottom line concept,,,,
